"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.163299874,6.675680746,52,56,6,84,"F"
3.163299874,6.675680746,52,56,6,84,"E"
3.163290552,6.675707635,52,56,16,85,"E"
3.163299553,6.675707742,52,56,6,86,"E"
3.163299553,6.675707742,52,56,6,86,"E"
3.163290232,6.675734632,52,56,16,88,"E"
3.163290232,6.675734632,52,56,16,88,"F"
3.163281124,6.675743524,52,56,16,88,"F"
3.16328091,6.675761522,52,56,16,90,"F"
3.16328091,6.675761522,52,56,16,90,"F"
3.163271589,6.675788411,52,56,16,92,"F"
3.163271589,6.675788411,52,56,16,92,"E"
3.163271482,6.67579741,52,56,16,93,"E"
3.163271161,6.675824407,52,56,16,95,"E"
3.163271161,6.675824407,52,56,16,95,"F"
3.163262161,6.6758243,52,56,16,95,"F"
3.163261947,6.675842298,52,56,4,97,"F"
3.163261947,6.675842298,52,56,4,97,"E"
3.163261733,6.675860295,52,56,4,98,"E"
3.163252625,6.675869187,52,56,4,99,"E"
3.163252625,6.675869187,52,56,4,99,"D"
3.163252411,6.675887185,52,56,4,101,"D"
3.163243197,6.675905076,52,56,4,102,"D"
3.163243197,6.675905076,52,56,4,102,"E"
3.163233875,6.675931966,52,56,4,104,"E"
3.163233875,6.675931966,52,56,4,104,"E"
3.163233769,6.675940964,52,56,4,105,"E"
3.163224554,6.675958855,52,56,4,107,"E"
3.163224447,6.675967854,52,56,4,108,"E"
3.163224126,6.675994851,52,56,4,110,"E"
3.163215019,6.676003743,52,56,4,111,"E"
3.163214912,6.676012742,52,56,4,112,"E"
3.163214912,6.676012742,52,56,4,112,"D"
3.16320559,6.676039631,52,56,4,114,"D"
3.163205483,6.67604863,52,56,4,115,"D"
3.163205483,6.67604863,52,56,4,115,"E"
3.163196162,6.67607552,52,56,4,118,"E"
3.163196162,6.67607552,52,56,4,118,"E"
3.163186841,6.676102409,52,56,4,120,"E"
3.163186841,6.676102409,52,56,4,120,"F"
3.16318652,6.676129406,52,56,4,123,"F"
